neg,neu,pos,compound
0.131,0.79,0.079,-0.7131
0.157,0.683,0.159,0.651
0.082,0.754,0.163,0.9927
0.149,0.711,0.14,-0.973
0.093,0.652,0.255,0.991
0.142,0.662,0.195,0.9993
0.079,0.689,0.231,0.9997
0.12,0.673,0.208,0.9998
0.06,0.797,0.143,0.9995
0.14,0.74,0.12,-0.6114
0.217,0.71,0.074,-0.926
0.061,0.8,0.139,0.9583
0.036,0.835,0.128,0.903
0.113,0.728,0.159,0.9976
0.095,0.675,0.231,0.9987
0.112,0.716,0.172,0.9961
0.159,0.707,0.134,-0.9819
0.135,0.707,0.158,0.204
0.187,0.72,0.093,-0.9908
0.16,0.704,0.136,-0.9977
0.08,0.751,0.169,0.9751
0.103,0.718,0.179,0.9957
0.117,0.693,0.191,0.9984
0.0,0.787,0.213,0.4019
0.141,0.69,0.169,0.9864
0.121,0.698,0.181,0.9882
0.129,0.65,0.221,1.0
0.102,0.67,0.229,0.9651
0.15,0.727,0.124,-0.9997
0.071,0.743,0.186,0.9917
0.187,0.692,0.121,-0.9994
0.062,0.737,0.201,0.999
0.149,0.685,0.166,0.8324
0.109,0.712,0.179,0.9997
0.188,0.749,0.063,-0.9932
0.157,0.76,0.084,-0.9805
0.133,0.775,0.092,-0.9982
0.14,0.75,0.11,-0.9861
0.122,0.763,0.115,-0.6932
0.079,0.654,0.267,0.9997
0.133,0.696,0.171,0.8977
0.107,0.85,0.043,-0.9121
0.169,0.699,0.132,-0.8594
0.168,0.716,0.116,-0.9995
0.122,0.649,0.229,0.999
0.093,0.732,0.175,0.9958
0.073,0.749,0.178,0.9975
0.137,0.721,0.142,0.1771
0.171,0.678,0.151,-0.9883
0.136,0.694,0.17,0.9995
0.067,0.666,0.267,0.9945
0.173,0.683,0.143,-0.9952
0.143,0.759,0.098,-0.6094
0.154,0.72,0.126,-0.9653
0.122,0.683,0.196,0.9557
0.131,0.674,0.195,0.7313
0.177,0.605,0.218,0.7849
0.1,0.716,0.184,0.9986
0.09,0.859,0.051,-0.4404
0.137,0.712,0.151,0.984
0.143,0.67,0.187,0.9975
0.158,0.677,0.165,-0.6477
0.142,0.692,0.166,0.9534
0.069,0.754,0.177,0.9997
0.226,0.68,0.095,-0.992
0.11,0.708,0.182,0.9986
0.254,0.66,0.086,-0.7458
0.119,0.801,0.08,-0.1568
0.143,0.591,0.265,0.9708
0.04,0.834,0.125,0.9729
0.132,0.702,0.166,0.8203
0.099,0.696,0.205,0.9997
0.196,0.714,0.09,-0.9906
0.083,0.714,0.204,0.9963
0.07,0.833,0.097,0.9102
0.112,0.756,0.132,0.9944
0.088,0.731,0.181,1.0
0.126,0.718,0.156,0.9997
0.13,0.704,0.165,0.9628
0.12,0.755,0.125,0.9233
0.079,0.739,0.182,0.9141
0.184,0.649,0.167,-0.9506
0.228,0.708,0.065,-0.9578
0.111,0.74,0.149,0.9882
0.134,0.663,0.203,0.9993
0.161,0.739,0.1,-0.9152
0.099,0.721,0.18,0.9983
0.173,0.739,0.088,-1.0
0.11,0.811,0.079,-0.3291
0.11,0.728,0.162,0.9997
0.102,0.722,0.176,0.9044
0.199,0.633,0.168,-0.9871
0.134,0.712,0.153,0.9906
0.207,0.704,0.089,-0.9613
0.112,0.74,0.148,0.9973
0.159,0.702,0.139,-0.4085
0.144,0.675,0.181,0.9985
0.121,0.741,0.138,0.9303
0.156,0.648,0.196,0.992
0.126,0.717,0.158,0.9983
0.175,0.755,0.07,-0.9905
0.147,0.738,0.115,-0.9968
0.159,0.693,0.147,-0.999
0.06,0.793,0.147,0.8255
0.144,0.757,0.099,-0.3828
0.154,0.684,0.163,0.9025
0.175,0.713,0.112,-0.9972
0.095,0.734,0.171,0.9994
0.14,0.73,0.13,-0.8607
0.1,0.734,0.166,0.7047
0.127,0.679,0.194,0.9999
0.057,0.738,0.204,0.9943
0.139,0.728,0.132,0.1494
0.104,0.729,0.167,0.9999
0.152,0.692,0.155,-0.882
0.111,0.729,0.16,0.9384
0.155,0.63,0.215,0.9995
0.11,0.706,0.184,0.9998
0.086,0.754,0.16,0.9682
0.0,1.0,0.0,0.0
0.199,0.641,0.16,-0.9714
0.156,0.771,0.073,-0.993
0.148,0.71,0.142,-0.8611
0.153,0.718,0.129,-0.9974
0.143,0.754,0.103,-0.9721
0.134,0.712,0.155,0.9994
0.115,0.754,0.132,0.9963
0.144,0.635,0.22,0.9964
0.126,0.691,0.183,0.9999
0.118,0.76,0.122,0.7067
