sd_a,sd_b,sd_c,sd_d
3,1,3,1
56,37,17,17
21,0,2,3
37,10,5,8
6,2,1,2
83,43,9,26
63,11,9,11
82,3,18,22
31,4,3,11
3,2,0,0
4,0,1,0
4,2,3,2
1,0,1,1
65,7,13,21
25,6,6,4
44,0,5,9
23,1,3,5
2,2,0,0
20,2,2,12
51,11,38,12
7,1,3,2
24,4,5,2
35,10,9,14
1,0,0,0
45,10,8,9
23,1,8,9
205,40,82,96
5,0,0,0
136,17,46,27
7,2,7,7
58,15,33,13
33,1,3,4
30,1,10,5
85,15,20,21
18,4,6,3
8,0,4,2
41,9,21,8
24,10,6,13
22,2,5,7
28,3,6,6
9,0,4,3
1,0,1,2
8,1,0,5
52,17,25,31
24,7,10,8
26,2,3,2
27,3,13,4
16,4,2,5
38,5,18,6
136,23,48,29
7,0,3,1
30,3,9,7
4,2,0,2
21,4,13,4
6,2,2,2
8,0,1,4
7,1,5,1
24,5,7,9
4,0,0,0
86,16,24,20
52,7,21,10
19,9,13,14
34,8,6,12
53,15,17,6
9,1,0,5
43,5,19,11
0,0,3,0
2,0,3,1
9,1,3,2
13,1,1,1
11,0,3,2
53,7,16,19
7,2,5,6
13,2,5,5
7,0,4,1
71,13,16,14
87,21,28,48
201,47,66,54
8,5,6,7
44,9,14,15
3,2,1,3
14,3,11,7
4,0,2,3
15,2,8,1
59,12,46,11
6,2,1,3
35,5,5,15
174,60,136,100
2,1,2,1
119,22,37,33
4,0,2,6
35,9,13,4
57,13,19,13
6,3,3,1
34,12,15,14
20,3,4,3
95,15,22,14
32,4,11,8
24,7,20,12
45,13,14,8
15,3,1,1
43,8,13,16
167,12,26,25
10,0,0,0
3,0,0,0
28,9,10,4
13,10,7,13
48,16,17,16
11,9,4,3
3,0,1,1
229,54,86,57
4,0,0,1
2,2,7,2
197,58,91,31
73,16,23,42
7,2,1,0
88,18,35,23
130,24,27,30
23,2,1,0
0,0,1,0
14,3,7,8
12,3,10,3
34,7,10,9
51,13,24,13
18,2,7,7
167,83,68,55
85,14,23,21
22,11,7,10
190,62,43,78
7,1,4,7
19,1,2,5
97,28,29,13
0,0,1,0
31,7,7,8
11,4,7,5
11,0,4,7
41,25,36,18
126,32,41,24
148,53,26,46
10,1,1,3
18,1,8,3
13,1,7,5
61,23,31,18
45,5,15,11
23,4,9,9
7,4,2,3
122,43,57,67
186,20,89,82
192,40,94,73
9,4,5,8
199,30,32,30
92,20,31,23
3,0,2,0
12,7,4,4
28,9,2,7
5,2,3,2
43,10,12,31
251,22,65,84
2,1,0,1
4,10,2,4
2,0,0,0
61,15,12,27
62,11,20,15
3,0,6,1
232,35,51,84
9,1,1,3
10,3,0,0
3,1,0,4
3,0,2,0
34,5,15,13
8,1,5,3
10,1,2,1
7,0,1,0
42,8,8,11
200,37,45,45
66,13,18,18
150,59,62,37
6,1,5,3
59,10,16,7
114,19,28,17
62,14,27,12
32,3,10,11
122,31,55,33
0,0,0,0
35,2,5,6
3,0,0,1
51,3,26,7
79,17,18,14
11,0,1,0
158,37,50,39
59,10,18,14
5,2,0,4
12,0,8,6
8,2,2,1
7,2,1,1
30,8,27,13
33,5,21,14
34,2,5,3
0,2,0,3
16,2,8,9
1,0,3,0
9,8,10,6
5,0,1,2
268,71,94,62
13,5,5,2
59,37,22,28
220,50,54,69
28,13,19,11
69,10,9,9
4,0,0,1
69,18,46,37
47,10,18,7
41,5,21,12
89,27,34,14
25,10,17,5
23,3,10,11
18,1,6,0
6,2,0,1
69,15,9,11
5,1,1,1
120,39,30,35
164,28,78,34
179,38,30,31
60,4,5,17
37,9,19,9
10,2,2,9
9,1,5,2
6,1,2,5
7,1,8,5
25,4,16,2
34,25,12,13
11,1,2,5
129,60,57,30
3,0,1,0
29,15,9,5
10,1,4,4
9,2,12,5
50,7,9,14
121,16,28,28
1,1,4,0
12,3,2,4
16,8,6,6
101,36,41,46
7,1,1,0
1,0,1,2
101,36,19,9
113,76,79,41
211,33,90,69
16,2,16,3
1,0,0,0
67,15,28,21
25,11,17,4
4,4,5,3
32,6,8,9
31,9,6,3
139,16,54,28
4,3,9,5
14,0,0,3
5,0,1,3
7,0,7,2
38,6,12,13
7,1,6,9
8,1,3,0
211,39,32,98
23,10,13,7
16,7,9,12
2,2,1,0
53,11,36,31
116,37,77,61
9,1,4,2
1,0,1,1
4,1,1,4
7,4,5,0
11,4,6,9
13,1,1,4
21,1,15,6
3,1,1,4
4,2,3,1
11,0,9,2
7,0,2,2
3,2,3,1
9,4,6,2
19,9,7,8
100,27,35,45
3,0,0,4
35,6,21,9
170,63,52,91
4,5,2,1
24,14,7,2
7,2,4,5
14,3,2,3
24,4,10,11
18,8,6,8
153,45,34,58
3,4,1,2
35,3,10,5
147,30,60,56
30,4,3,8
91,6,22,14
7,1,0,1
13,3,10,11
5,0,1,0
28,8,7,4
40,2,10,9
2,1,0,0
16,6,6,6
43,8,23,18
18,10,7,5
20,4,4,5
58,17,29,19
8,3,4,3
20,9,12,7
100,15,26,31
20,6,15,7
0,1,3,0
2,0,0,1
34,9,10,13
71,18,29,21
208,38,58,38
47,16,23,20
18,9,6,9
14,1,8,9
144,123,67,75
80,31,31,25
35,7,16,8
28,5,12,15
44,7,18,15
7,0,3,1
2,0,0,0
7,8,4,5
25,11,8,20
19,8,12,9
16,2,3,2
14,3,1,4
7,0,7,3
17,2,18,7
36,10,20,8
48,11,18,14
14,3,1,2
4,1,5,5
79,18,20,29
5,1,0,0
22,4,6,7
110,9,36,22
16,6,1,1
44,6,12,5
93,24,38,44
8,2,2,4
37,15,17,19
148,14,46,34
32,10,25,9
12,2,2,2
10,1,3,0
6,1,1,1
46,11,19,20
46,7,25,8
118,30,32,21
72,23,13,30
6,1,0,0
103,104,55,48
2,3,5,2
13,0,4,1
4,0,2,1
75,8,27,20
10,5,9,5
108,25,69,42
15,2,9,9
18,3,4,4
63,5,22,6
68,33,34,24
83,14,34,25
15,1,5,4
28,3,21,6
48,17,24,16
38,7,12,14
73,10,27,12
18,0,2,3
43,1,7,3
2,1,0,0
10,4,14,3
14,0,3,9
11,0,1,1
11,2,1,2
13,2,4,4
108,24,39,25
6,4,3,6
7,5,7,1
22,8,4,4
33,2,5,5
31,4,23,11
7,2,12,1
4,0,5,1
1,0,1,1
6,0,0,3
90,19,29,26
23,4,9,6
38,13,11,2
3,1,1,1
9,1,1,0
7,0,2,0
2,1,2,6
35,8,9,10
18,6,8,6
15,3,2,5
4,0,3,2
31,5,6,4
0,0,0,0
178,58,30,34
2,0,0,1
60,13,26,12
21,3,4,1
62,24,27,28
216,53,70,81
13,6,8,1
42,9,8,26
2,0,2,2
139,24,28,38
35,6,19,12
17,3,5,0
69,26,31,51
47,4,5,23
10,4,1,3
8,0,0,0
14,10,9,7
199,50,100,46
10,4,1,2
30,14,15,8
36,9,10,8
52,7,14,11
153,28,41,44
24,3,4,9
10,0,3,3
31,3,9,3
42,4,8,9
76,25,31,28
9,4,3,6
14,3,6,3
52,10,9,24
141,49,87,64
13,1,3,1
45,12,26,21
127,20,30,61
3,1,1,0
28,7,10,12
80,10,23,23
60,17,30,20
7,6,3,4
19,3,8,7
1,0,0,0
36,6,11,7
25,6,13,5
22,7,10,11
27,3,11,0
52,15,23,14
5,0,1,3
13,1,7,1
32,11,16,15
34,10,8,6
103,13,39,23
12,2,2,3
12,2,3,1
76,21,21,21
36,16,6,12
43,9,17,4
61,23,24,26
40,1,8,6
53,8,15,18
125,23,95,49
28,6,9,11
18,2,2,11
9,3,4,3
5,0,1,4
53,5,20,19
98,26,33,24
12,2,4,4
3,0,0,1
56,15,37,15
38,10,5,9
31,0,8,4
2,0,0,1
14,2,6,7
8,1,2,5
22,0,5,4
5,0,4,2
21,4,4,3
106,22,31,37
18,8,13,16
17,5,8,4
10,3,11,6
196,61,67,69
50,12,18,20
13,1,5,6
42,10,22,23
17,1,5,12
5,0,1,0
38,5,5,10
19,1,8,3
195,42,49,56
11,4,11,0
4,0,9,6
