PRP$,RB,DT,JJ,NN,",",CC,VB,VBG,IN,.,NNP,NNS,PRP,VBP,MD,TO,VBZ,:,VBN,RP,WP,WRB,CD,WDT,PDT,JJR,RBR,VBD,UH,``,'',(,),JJS,EX,FW,RBS,NNPS,$,WP$,#,SYM,POS
5,10,10,9,22,8,7,11,4,16,10,4,5,10,5,5,3,2,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,166,148,158,243,88,87,158,57,205,143,39,98,248,123,46,75,76,4,23,20,18,28,15,9,2,6,3,34,2,7,7,2,2,3,1,1,0,0,0,0,0,0,0
11,27,40,25,65,28,22,50,13,45,24,5,22,41,25,5,18,10,4,5,3,4,1,5,5,1,0,1,14,0,0,0,0,0,2,4,0,2,0,0,0,0,0,0
24,84,57,51,113,0,22,59,15,100,55,22,33,70,50,12,35,22,10,16,6,13,8,6,4,3,7,0,40,0,0,0,2,2,5,8,0,0,1,0,0,0,0,0
11,20,12,10,26,13,10,9,9,19,17,9,10,24,16,4,1,3,5,2,0,1,1,2,0,1,2,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
63,148,124,106,212,74,64,150,63,260,171,80,56,298,126,50,111,81,5,40,14,14,18,6,12,3,2,2,51,7,1,2,0,0,4,1,0,0,0,0,0,0,0,0
19,87,71,58,125,52,29,99,22,113,102,41,22,150,85,32,52,18,7,7,12,6,8,3,8,0,6,3,16,0,1,1,2,2,2,4,0,2,0,0,0,0,0,0
47,136,118,99,241,72,91,146,55,215,131,55,61,220,124,37,76,42,2,14,25,27,15,4,6,3,8,1,41,3,9,9,2,3,6,1,0,2,0,0,0,0,0,0
54,115,171,144,295,90,75,107,56,238,61,30,95,155,86,44,68,55,4,29,9,8,4,9,10,1,5,3,18,0,2,0,9,9,4,5,0,1,0,2,0,0,0,0
3,7,12,2,20,2,5,9,4,12,11,9,3,12,6,2,3,3,1,2,0,1,3,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
3,9,3,4,8,2,3,2,2,4,10,1,2,14,7,1,1,3,0,0,1,0,1,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,14,11,18,24,15,6,19,7,21,34,10,12,30,16,5,5,4,0,1,3,1,2,2,1,0,1,0,2,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0
6,4,7,3,12,1,4,6,1,6,10,0,2,19,7,2,3,3,0,3,0,1,1,0,0,0,0,1,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
80,124,94,118,207,85,45,129,37,150,177,61,74,194,116,37,33,45,13,23,8,17,18,9,8,1,5,3,14,2,11,11,6,6,2,5,1,3,1,0,1,0,0,0
16,48,50,43,68,22,15,53,15,64,60,14,22,91,46,16,23,12,4,4,4,4,6,4,0,3,3,5,11,0,2,2,2,2,2,0,0,0,0,0,0,0,0,0
19,61,67,60,113,29,24,82,12,103,51,21,41,114,61,24,30,17,29,6,3,10,8,7,3,0,0,1,9,0,0,0,3,11,1,8,1,0,0,1,0,0,0,0
12,51,60,50,96,20,23,34,11,69,37,16,23,37,15,8,17,21,2,5,3,6,3,14,5,1,3,1,20,1,2,2,0,0,3,1,0,0,0,0,0,0,0,0
2,7,3,5,9,4,1,4,0,7,5,2,2,6,1,1,2,3,0,3,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,23,19,22,45,8,25,19,8,31,16,21,12,46,14,4,13,12,0,13,2,2,7,8,0,0,1,0,25,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
41,137,159,142,291,133,71,123,51,204,107,37,79,163,100,24,56,50,2,33,19,9,29,25,13,1,6,1,96,1,0,0,0,0,9,3,1,0,0,0,0,0,0,0
6,24,20,17,26,10,14,16,4,33,17,2,9,40,20,9,7,8,0,9,1,0,1,0,2,1,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
19,56,32,33,75,28,30,35,15,49,44,23,18,60,27,4,23,8,10,7,5,3,10,3,0,1,0,0,30,1,3,3,4,5,1,2,0,0,0,0,0,0,0,0
34,97,76,64,108,35,44,68,26,102,68,24,50,103,61,16,26,15,0,12,3,12,9,6,1,2,11,3,26,0,2,2,2,2,8,1,0,0,0,0,0,0,0,0
1,0,1,0,1,0,1,3,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,91,74,55,143,30,26,55,23,137,45,37,35,106,37,16,34,27,20,11,6,4,8,5,4,1,5,2,42,1,0,0,3,3,4,2,0,0,0,0,0,0,0,0
16,29,33,30,60,4,20,40,9,43,38,31,12,60,26,7,22,9,6,6,0,2,3,9,2,0,1,0,13,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
156,407,387,430,652,258,201,558,156,633,555,189,216,741,450,154,242,135,0,49,30,70,51,18,26,9,23,8,75,3,5,7,0,0,15,51,0,0,0,0,0,0,0,0
2,8,9,4,14,4,3,6,2,11,6,0,5,16,9,3,3,1,2,0,1,0,3,0,1,0,1,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
120,317,391,337,710,160,162,320,139,513,330,215,189,440,236,68,151,140,70,54,27,83,29,42,11,4,26,8,122,5,62,46,15,15,13,6,4,0,3,4,1,3,1,0
21,35,41,27,53,13,18,25,6,54,24,9,20,35,23,12,14,6,6,2,0,2,0,2,2,2,1,0,4,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0
64,117,134,100,275,62,57,103,30,157,149,41,57,174,61,19,65,40,8,26,9,9,25,15,2,6,1,1,105,0,1,1,1,1,3,7,0,1,1,0,0,0,0,0
20,57,55,42,97,33,22,64,13,82,49,32,23,81,40,20,31,15,4,8,4,5,4,4,5,1,5,3,19,0,4,2,2,3,5,2,0,1,0,0,0,0,0,0
12,47,43,29,69,3,29,38,12,64,36,17,12,80,34,14,18,27,7,9,7,15,5,2,2,0,5,1,16,1,1,1,0,1,2,1,0,0,0,0,0,0,0,0
51,180,157,133,290,141,100,193,47,250,166,90,74,324,180,43,92,43,4,36,14,22,18,7,5,3,10,4,62,3,0,0,15,15,5,2,0,0,0,0,0,0,0,0
6,22,26,17,38,2,17,13,9,27,11,12,5,37,20,3,8,8,0,5,1,3,6,4,1,0,0,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4,5,27,19,36,17,6,17,10,22,17,5,16,25,15,5,7,8,0,6,1,5,1,0,2,1,0,0,20,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
57,142,127,83,208,82,69,70,33,170,89,32,55,190,86,9,45,42,0,22,25,4,23,13,5,4,6,4,66,0,4,4,0,0,4,4,2,1,0,0,0,0,0,0
23,29,50,30,102,38,25,48,12,58,37,22,24,42,29,14,26,16,5,9,4,7,2,3,7,1,1,0,3,1,0,0,1,1,2,3,1,1,1,0,0,0,0,0
11,21,41,23,69,24,21,25,13,43,38,15,20,49,25,7,17,7,4,5,3,1,1,5,1,0,0,0,7,1,1,1,2,2,1,0,0,0,0,0,0,0,0,0
21,49,46,47,99,43,22,61,30,64,79,21,19,114,60,14,23,20,0,10,4,10,13,5,5,2,7,1,17,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0
3,17,5,13,21,13,13,22,6,28,10,2,9,30,8,7,9,5,0,3,1,4,3,3,1,0,3,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,8,6,5,14,1,9,18,1,8,6,3,1,22,17,4,8,1,0,0,1,4,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2,16,7,9,21,19,7,10,1,23,12,10,5,25,11,3,4,7,1,4,3,3,1,0,1,1,1,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,203,181,163,312,12,89,174,69,213,40,71,86,260,128,41,96,70,1,40,18,18,34,15,8,3,5,2,75,1,1,1,2,3,1,1,1,0,0,0,0,0,0,0
25,50,59,48,102,26,18,35,17,93,81,24,22,93,44,5,19,34,1,3,1,3,9,3,1,0,1,0,26,0,2,2,1,1,4,8,0,0,0,0,0,0,0,0
15,32,35,24,79,21,21,37,15,55,46,25,18,79,30,10,25,19,3,6,3,3,4,4,1,0,2,0,29,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
17,42,44,30,75,19,24,46,15,63,49,20,21,85,40,14,20,15,0,12,5,5,5,6,2,2,1,1,18,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0
11,33,32,22,48,20,10,24,19,44,32,15,26,57,34,7,22,6,2,6,5,2,4,2,3,0,2,0,9,1,2,2,0,1,2,0,0,0,0,0,0,0,0,0
35,69,57,41,127,46,38,75,24,97,72,36,24,100,43,14,49,28,0,15,8,14,2,3,6,0,3,1,34,1,7,7,1,1,5,2,0,0,0,0,0,0,0,0
139,283,289,306,618,211,179,298,136,437,341,111,166,406,217,82,140,122,53,54,24,38,36,19,19,2,16,4,63,0,20,21,18,18,19,6,1,2,0,0,0,0,2,0
4,11,16,19,27,4,7,15,1,18,21,4,5,16,14,7,5,2,0,1,2,3,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
32,105,98,87,163,35,59,73,24,126,93,39,41,130,66,17,36,35,1,24,14,8,8,13,4,1,7,0,36,1,4,4,8,8,2,1,0,2,0,0,0,0,0,0
0,10,5,6,7,4,2,7,0,7,4,1,2,10,5,2,4,1,2,3,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,46,25,30,53,19,22,32,17,49,50,23,17,72,32,7,17,16,5,2,8,5,6,4,1,2,0,0,13,2,0,0,0,1,1,3,0,0,0,0,0,0,0,0
5,21,13,15,28,2,7,17,5,19,13,6,13,24,15,5,8,3,0,1,1,1,1,2,0,1,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,5,3,5,8,2,3,11,0,14,2,1,5,15,11,5,3,0,1,0,1,0,1,1,1,0,1,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
6,6,13,10,26,13,5,15,7,16,17,11,10,18,7,5,7,4,14,4,0,1,0,6,0,0,2,1,4,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0
21,67,91,72,117,60,30,66,16,95,29,18,41,71,47,18,35,32,1,10,7,7,8,4,5,0,3,2,9,0,1,1,2,2,4,3,1,3,0,0,0,0,0,0
3,2,4,3,8,2,0,2,2,5,0,1,1,6,2,2,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,138,79,118,166,30,89,136,27,184,148,56,84,221,119,38,80,36,0,16,8,18,26,28,6,1,18,10,74,0,0,0,4,4,6,6,0,1,0,0,0,0,0,0
34,100,91,97,190,92,43,106,37,139,91,29,50,145,91,37,59,39,7,18,10,6,7,5,6,1,2,2,12,0,0,0,6,6,2,2,1,1,0,0,0,0,0,0
13,101,91,67,139,31,47,77,31,117,90,29,22,133,74,22,39,32,3,19,10,7,5,2,3,0,4,4,12,3,5,5,4,4,3,2,0,1,0,0,0,0,0,0
15,42,52,42,87,19,29,50,14,85,49,28,25,76,50,12,23,13,7,12,3,4,2,1,2,1,4,0,13,0,3,3,3,3,7,4,0,0,0,0,0,0,0,0
53,140,102,103,179,123,69,187,33,182,110,24,63,246,112,53,88,44,28,13,14,19,14,10,8,2,10,3,26,1,0,0,4,4,6,0,0,0,0,0,0,0,0,0
3,15,20,15,30,13,9,19,6,23,18,8,1,37,19,3,8,8,2,3,0,2,1,0,1,1,0,1,7,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0
34,72,84,55,141,32,47,91,25,101,114,34,39,143,61,22,39,23,8,10,15,5,12,11,3,2,2,4,47,2,2,2,2,3,5,1,1,0,0,0,0,0,0,0
2,2,3,1,8,0,2,2,0,3,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,12,7,2,11,1,1,5,4,9,9,2,4,11,7,0,3,1,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11,10,6,5,18,6,2,13,3,11,10,4,3,12,3,3,2,3,1,2,0,0,0,0,0,1,1,0,3,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0
9,15,28,14,42,14,11,23,8,33,17,23,9,29,20,7,11,5,1,7,1,1,0,7,1,0,1,0,7,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
